mean_auc,auc_drop,importance,Regime,Feature_Set,Feature
0.5254968370566782,0.0065368686099532836,1.228656857700899,5%,Sentiment,purpose
0.5329050676115823,-0.0008713619449508547,-0.16377946278028557,5%,Sentiment,sentiment_score
0.5221610832444703,0.009872622422161137,1.8556385275987106,5%,Sentiment,sentiment_confidence
0.525958736297671,0.006074969368960459,1.1418391925655536,5%,Sentiment,text_length
0.5327234117898351,-0.0006897061232036261,-0.12963579484864277,5%,Sentiment,word_count
0.5315996600824519,0.0004340455841795876,0.08158234704993625,5%,Sentiment,sentence_count
0.5307339474656306,0.0012997582010008113,0.24429997332071862,5%,Sentiment,has_positive_words
0.5299658651242508,0.002067840542380628,0.3886672066743685,5%,Sentiment,has_negative_words
0.5285542736619377,0.0034794320046936944,0.6539871379641278,5%,Sentiment,has_financial_terms
0.5345914689213933,-0.002557763254761869,-0.48075210790583733,5%,Sentiment,sentiment
0.5358612678422047,-0.0009491630118853012,-0.17744279916536704,5%,Hybrid,purpose
0.5354419404115288,-0.000529835581209448,-0.09905096116258544,5%,Hybrid,sentiment_score
0.524870191760205,0.010041913070114372,1.87730151915328,5%,Hybrid,sentiment_confidence
0.5327111482491338,0.002200956581185576,0.4114613524933682,5%,Hybrid,text_length
0.5330958185284592,0.0018162863018601483,0.33954855114679006,5%,Hybrid,word_count
0.5294048725897524,0.005507232240566928,1.0295583500234846,5%,Hybrid,sentence_count
0.5347417132166281,0.00017039161369125644,0.03185413307206924,5%,Hybrid,has_positive_words
0.5348643526589241,4.775217139529886e-05,0.00892710614773738,5%,Hybrid,has_negative_words
0.5336129079923295,0.0012991968379898466,0.24288043330071354,5%,Hybrid,has_financial_terms
0.5345478023729191,0.00036430245740026734,0.06810510626149104,5%,Hybrid,sentiment
0.5290880182911011,0.005824086539218287,1.0887931842682375,5%,Hybrid,sentiment_text_interaction
0.5306226589932853,0.004289445837034056,0.8018973207560373,5%,Hybrid,sentiment_word_interaction
0.5345947869503139,0.00031731788000544103,0.05932149920333138,5%,Hybrid,sentiment_purpose_interaction
0.5243541151870311,0.0014039541325528981,0.2670342529159547,10%,Sentiment,purpose
0.529588143021298,-0.003830073701713954,-0.7284859567958109,10%,Sentiment,sentiment_score
0.5113574793829393,0.014400589936644725,2.739014534818537,10%,Sentiment,sentiment_confidence
0.525257781849237,0.0005002874703470273,0.09515545258192236,10%,Sentiment,text_length
0.5223363529690147,0.003421716350569315,0.650815755428646,10%,Sentiment,word_count
0.5269141540540642,-0.001156084734480145,-0.21988910906803688,10%,Sentiment,sentence_count
0.5269087540600308,-0.0011506847404467724,-0.21886202182991593,10%,Sentiment,has_positive_words
0.5264961080791302,-0.0007380387595461446,-0.14037611643341702,10%,Sentiment,has_negative_words
0.5272768704321825,-0.0015188011125985001,-0.2888783265968841,10%,Sentiment,has_financial_terms
0.5272430393487441,-0.0014849700291600376,-0.2824436020700222,10%,Sentiment,sentiment
0.5297297772852655,-0.00023320839564833218,-0.044043419608437266,10%,Hybrid,purpose
0.5315227565749504,-0.0020261876853332472,-0.38266304342297663,10%,Hybrid,sentiment_score
0.5105515711891389,0.018944997700478305,3.577926433065844,10%,Hybrid,sentiment_confidence
0.5272242387927705,0.0022723300968466864,0.4291491636313876,10%,Hybrid,text_length
0.528158935785046,0.0013376331045711343,0.2526235641859253,10%,Hybrid,word_count
0.527520120897133,0.0019764479924841982,0.37326927285457506,10%,Hybrid,sentence_count
0.5317950514429017,-0.0022984825532845754,-0.4340882808937964,10%,Hybrid,has_positive_words
0.5321021378484272,-0.002605568958810034,-0.4920842007105074,10%,Hybrid,has_negative_words
0.5330798680130298,-0.0035832991234125977,-0.6767369864033244,10%,Hybrid,has_financial_terms
0.5296826006720174,-0.00018603178240028662,-0.03513370875856765,10%,Hybrid,sentiment
0.5301687838467712,-0.0006722149571540825,-0.12695360020250054,10%,Hybrid,sentiment_text_interaction
0.5282295426317024,0.0012670262579147495,0.23928885140309256,10%,Hybrid,sentiment_word_interaction
0.5314391935872289,-0.00194262469761175,-0.3668814515050662,10%,Hybrid,sentiment_purpose_interaction
0.5152840661479658,0.001288264204199363,0.24938699355443772,15%,Sentiment,purpose
0.5270653850402827,-0.010493054688117454,-2.0312846955941244,15%,Sentiment,sentiment_score
0.5014149302013233,0.015157400150841882,2.9342261016010207,15%,Sentiment,sentiment_confidence
0.5224447140557106,-0.00587238370354537,-1.1367979580985228,15%,Sentiment,text_length
0.5171608245096185,-0.0005884941574533231,-0.11392289576410844,15%,Sentiment,word_count
0.5196747009121774,-0.0031023705600121687,-0.6005684737115469,15%,Sentiment,sentence_count
0.5170502622766207,-0.00047793192445544364,-0.09251984598741882,15%,Sentiment,has_positive_words
0.5178335628214974,-0.0012612324693321852,-0.2441540894132598,15%,Sentiment,has_negative_words
0.5174031517895268,-0.000830821437361573,-0.16083351518173133,15%,Sentiment,has_financial_terms
0.5177933899897453,-0.0012210596375801241,-0.23637728268327604,15%,Sentiment,sentiment
0.5142519874603674,0.0019378825216164186,0.3754204865903422,15%,Hybrid,purpose
0.5193005308269886,-0.0031106608450047757,-0.6026195060963411,15%,Hybrid,sentiment_score
0.5000936110737,0.01609625890828381,3.1182826018739207,15%,Hybrid,sentiment_confidence
0.5185790820179261,-0.002389212035942334,-0.4628552737824404,15%,Hybrid,text_length
0.5182161515141438,-0.0020262815321600014,-0.3925457762723478,15%,Hybrid,word_count
0.5197207441760329,-0.0035308741940490718,-0.6840262468095911,15%,Hybrid,sentence_count
0.5169514215278351,-0.0007615515458513356,-0.1475332218119498,15%,Hybrid,has_positive_words
0.5157730926746076,0.0004167773073762149,0.08074108610282518,15%,Hybrid,has_negative_words
0.5188092144418802,-0.002619344459896422,-0.5074381757991189,15%,Hybrid,has_financial_terms
0.5157380919744707,0.0004517780075130595,0.08752167250566688,15%,Hybrid,sentiment
0.5181281480906637,-0.0019382781086798584,-0.3754971225505663,15%,Hybrid,sentiment_text_interaction
0.518696460846642,-0.002506590864658209,-0.4855947414748172,15%,Hybrid,sentiment_word_interaction
0.5160027253153684,0.00018714466661540197,0.03625500566718478,15%,Hybrid,sentiment_purpose_interaction
