Dataset,Model,Variant,AUC,Brier,Default_Rate,Features,AUC_Improvement,Brier_Improvement
5%_default,RandomForest,Traditional,0.5892,0.0848,0.093,24,0.0000,0.0000
5%_default,RandomForest,Sentiment,0.5955,0.0848,0.093,29,0.0064,0.0000
5%_default,RandomForest,Hybrid,0.6047,0.0845,0.093,32,0.0156,0.0003
5%_default,XGBoost,Traditional,0.5402,0.0898,0.093,24,0.0000,0.0000
5%_default,XGBoost,Sentiment,0.5649,0.0885,0.093,29,0.0247,0.0013
5%_default,XGBoost,Hybrid,0.5796,0.0884,0.093,32,0.0394,0.0014
5%_default,LogisticRegression,Traditional,0.6306,0.0827,0.093,24,0.0000,0.0000
5%_default,LogisticRegression,Sentiment,0.6287,0.0827,0.093,29,-0.0019,0.0000
5%_default,LogisticRegression,Hybrid,0.6327,0.0828,0.093,32,0.0021,-0.0001
10%_default,RandomForest,Traditional,0.5807,0.1415,0.170,24,0.0000,0.0000
10%_default,RandomForest,Sentiment,0.6058,0.1394,0.170,29,0.0251,0.0021
10%_default,RandomForest,Hybrid,0.6120,0.1393,0.170,32,0.0313,0.0022
10%_default,XGBoost,Traditional,0.5591,0.1493,0.170,24,0.0000,0.0000
10%_default,XGBoost,Sentiment,0.5753,0.1476,0.170,29,0.0162,0.0017
10%_default,XGBoost,Hybrid,0.5700,0.1484,0.170,32,0.0109,0.0009
10%_default,LogisticRegression,Traditional,0.6144,0.1381,0.170,24,0.0000,0.0000
10%_default,LogisticRegression,Sentiment,0.6146,0.1381,0.170,29,0.0001,0.0000
10%_default,LogisticRegression,Hybrid,0.6285,0.1374,0.170,32,0.0141,0.0007
15%_default,RandomForest,Traditional,0.5786,0.1791,0.235,24,0.0000,0.0000
15%_default,RandomForest,Sentiment,0.5869,0.1784,0.235,29,0.0083,0.0007
15%_default,RandomForest,Hybrid,0.5946,0.1775,0.235,32,0.0160,0.0016
15%_default,XGBoost,Traditional,0.5654,0.1877,0.235,24,0.0000,0.0000
15%_default,XGBoost,Sentiment,0.5987,0.1840,0.235,29,0.0333,0.0037
15%_default,XGBoost,Hybrid,0.5783,0.1874,0.235,32,0.0130,0.0003
15%_default,LogisticRegression,Traditional,0.5911,0.1762,0.235,24,0.0000,0.0000
15%_default,LogisticRegression,Sentiment,0.5879,0.1765,0.235,29,-0.0031,-0.0003
15%_default,LogisticRegression,Hybrid,0.6020,0.1759,0.235,32,0.0109,0.0003 